lat,lon,brightness,scanpixel_,trackpixel,detection_,radiative_,sat,acqdate,acqtime,orbitno,sensor,state,district,village_na,coverage_f,id,cropmask,mailsent,mailsent_t,geometry
27.66811,76.13559,300.4,0.4,0.4,8.0,0.8,npp,2025-12-18,02:23:52,073270,VF375,RJ,,,,4114819,,1,2025-12-18,POINT (76.13558959960938 27.66810989379883)
25.13335,75.88988,298.0,0.4,0.4,8.0,0.6,npp,2025-12-18,02:23:52,073270,VF375,RJ,,,,4114865,,1,2025-12-18,POINT (75.88987731933594 25.13335037231445)
28.3463,77.25931,307.9,0.4,0.4,8.0,0.5,npp,2025-12-18,02:23:52,073270,VF375,HR,,,,4114816,,1,2025-12-18,POINT (77.25930786132812 28.34630012512207)
23.89298,74.02505,320.8,0.4,0.4,8.0,2.0,npp,2025-12-18,02:23:52,073270,VF375,RJ,,,,4114941,,1,2025-12-18,POINT (74.02504730224609 23.89298057556152)
26.26522,74.18954,303.8,0.4,0.4,8.0,1.6,npp,2025-12-18,02:23:52,073270,VF375,RJ,,,,4114831,,1,2025-12-18,POINT (74.18953704833984 26.26522064208984)
24.69214,74.68001,305.5,0.4,0.4,8.0,0.9,npp,2025-12-18,02:23:52,073270,VF375,RJ,,,,4114885,,1,2025-12-18,POINT (74.68000793457031 24.69214057922363)
26.87927,73.51456,301.4,0.4,0.4,8.0,1.3,npp,2025-12-18,02:23:52,073270,VF375,RJ,,,,4114822,,1,2025-12-18,POINT (73.51455688476562 26.87927055358887)
26.87206,73.51714,296.8,0.4,0.4,8.0,0.6,npp,2025-12-18,02:23:52,073270,VF375,RJ,,,,4114825,,1,2025-12-18,POINT (73.51714324951172 26.87206077575684)
24.93284,74.63393,300.9,0.4,0.4,8.0,0.7,npp,2025-12-18,02:23:52,073270,VF375,RJ,,,,4114880,,1,2025-12-18,POINT (74.63392639160156 24.93284034729004)
29.91861,74.95496,295.9,0.4,0.4,8.0,1.1,npp,2025-12-18,02:23:52,073270,VF375,PB,,,,4114811,,1,2025-12-18,POINT (74.95496368408203 29.91860961914062)
29.90935,74.94895,342.0,0.4,0.4,8.0,5.4,npp,2025-12-18,02:23:52,073270,VF375,PB,,,,4114812,,1,2025-12-18,POINT (74.94895172119141 29.90934944152832)
29.58252,75.04256,297.2,0.4,0.4,8.0,0.6,npp,2025-12-18,02:23:52,073270,VF375,HR,,,,4114813,,1,2025-12-18,POINT (75.04255676269531 29.58251953125)
29.12536,75.78012,297.7,0.4,0.4,8.0,0.3,npp,2025-12-18,02:23:52,073270,VF375,HR,,,,4114814,,1,2025-12-18,POINT (75.78012084960938 29.1253604888916)
27.66881,76.13152,307.5,0.4,0.4,8.0,0.8,npp,2025-12-18,02:23:52,073270,VF375,RJ,,,,4114818,,1,2025-12-18,POINT (76.13152313232422 27.66880989074707)
26.92728,73.46807,298.0,0.4,0.4,8.0,0.6,npp,2025-12-18,02:23:52,073270,VF375,RJ,,,,4114821,,1,2025-12-18,POINT (73.46807098388672 26.92728042602539)
24.76411,74.60952,309.7,0.4,0.4,8.0,1.4,npp,2025-12-18,02:23:52,073270,VF375,RJ,,,,4114884,,1,2025-12-18,POINT (74.60951995849609 24.76411056518555)
24.66189,74.63418,302.5,0.4,0.4,8.0,1.7,npp,2025-12-18,02:23:52,073270,VF375,RJ,,,,4114886,,1,2025-12-18,POINT (74.63417816162109 24.66189002990723)
24.68917,73.00409,302.1,0.4,0.4,8.0,0.6,npp,2025-12-18,02:23:52,073270,VF375,RJ,,,,4114895,,1,2025-12-18,POINT (73.00408935546875 24.68917083740234)
26.87597,73.51392,296.8,0.4,0.4,8.0,1.0,npp,2025-12-18,02:23:52,073270,VF375,RJ,,,,4114823,,1,2025-12-18,POINT (73.51392364501953 26.8759708404541)
30.85849,75.46903,295.2,0.4,0.4,8.0,0.9,npp,2025-12-18,02:23:52,073270,VF375,PB,,,,4114808,,1,2025-12-18,POINT (75.46903228759766 30.85848999023438)
30.85519,75.46832,341.1,0.4,0.4,8.0,7.8,npp,2025-12-18,02:23:52,073270,VF375,PB,,,,4114809,,1,2025-12-18,POINT (75.46832275390625 30.85519027709961)
24.65656,73.87524,299.2,0.4,0.4,8.0,0.9,npp,2025-12-18,02:23:52,073270,VF375,RJ,,,,4114894,,1,2025-12-18,POINT (73.87523651123047 24.65656089782715)
28.32101,77.19907,303.6,0.4,0.4,8.0,0.8,npp,2025-12-18,02:23:52,073270,VF375,HR,,,,4114817,,1,2025-12-18,POINT (77.19907379150391 28.32101058959961)
26.87537,73.51777,297.4,0.4,0.4,8.0,0.6,npp,2025-12-18,02:23:52,073270,VF375,RJ,,,,4114824,,1,2025-12-18,POINT (73.51776885986328 26.87537002563477)
26.6054,73.68571,304.5,0.4,0.4,8.0,1.1,npp,2025-12-18,02:23:52,073270,VF375,RJ,,,,4114826,,1,2025-12-18,POINT (73.68570709228516 26.60540008544922)
26.25618,74.0971,304.7,0.4,0.4,8.0,0.4,npp,2025-12-18,02:23:52,073270,VF375,RJ,,,,4114833,,1,2025-12-18,POINT (74.09709930419922 26.25617980957031)
29.12204,75.77941,295.2,0.4,0.4,8.0,0.3,npp,2025-12-18,02:23:52,073270,VF375,HR,,,,4114815,1.0,1,2025-12-18,POINT (75.77941131591797 29.12203979492188)
30.85455,75.47231,303.8,0.4,0.4,8.0,7.8,npp,2025-12-18,02:23:52,073270,VF375,PB,,,,4114810,1.0,1,2025-12-18,POINT (75.47231292724609 30.85454940795898)
